model_name,exp_name,sft_lr,seed,checkpoint_step,checkpoint_dir_exists,checkpoint_materialized,eval_dataset,eval_json_exists,score_cache_exists,checkpoint_path,eval_json_path,score_cache_path
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,600,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,600,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,750,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_750,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,750,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_750,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,750,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_750,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,900,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_900,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,900,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_900,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,900,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_900,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1050,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1050,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1050,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1050,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1050,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1050,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1200,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1200,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1200,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1200,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1200,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1200,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1400,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1400,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1400,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1400,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1400,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1400,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1600,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1600,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1,3e-5,1,1600,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-5-grpo-lr1e-6-kl3e-4-seed1/global_step_1600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,150,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_150,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,150,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_150,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,150,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_150,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,300,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_300,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,300,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_300,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,300,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_300,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,450,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_450,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,450,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_450,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,450,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_450,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,600,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,600,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,600,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,750,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_750,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,750,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_750,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,750,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_750,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,900,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_900,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,900,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_900,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,900,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_900,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1050,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1050,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1050,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1050,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1050,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1050,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1200,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1200,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1200,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1200,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1200,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1200,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1400,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1400,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1400,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1400,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1400,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1400,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1600,true,false,balanced,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1600,true,false,balanced5,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1600,,
Qwen2.5-0.5B,balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1,3e-6,1,1600,true,false,balanced6,false,false,/n/holylabs/LABS/kempner_bingbin_lab/Lab/sdholakia/rl-checkpoints/checkpoints/Qwen2.5-0.5B/balanced-distill-sftlr3e-6-grpo-lr1e-6-kl3e-4-seed1/global_step_1600,,
